city,neighbourhood,property_type,price_period,median_price
Mombasa,Nyali,land,once,6004500.0
Mombasa,Shanzu,apartment,monthly,64100.0
Mombasa,Shanzu,apartment,once,16717200.0
Mombasa,Shanzu,apartment,yearly,66450.0
Mombasa,Shanzu,bedsitter,monthly,15300.0
Mombasa,Shanzu,bedsitter,once,2221950.0
Mombasa,Shanzu,bedsitter,yearly,14900.0
Mombasa,Shanzu,commercial,monthly,85100.0
Mombasa,Shanzu,commercial,once,20581300.0
Mombasa,Shanzu,commercial,yearly,79400.0
Mombasa,Shanzu,house,monthly,170500.0
Mombasa,Shanzu,house,once,40491350.0
Mombasa,Shanzu,house,yearly,160100.0
Mombasa,Shanzu,land,once,5694800.0
Nairobi,Eastleigh,apartment,monthly,30700.0
Nairobi,Eastleigh,apartment,once,6720600.0
Nairobi,Eastleigh,apartment,yearly,30900.0
Nairobi,Eastleigh,bedsitter,monthly,6600.0
Nairobi,Eastleigh,bedsitter,once,1068750.0
Nairobi,Eastleigh,bedsitter,yearly,6550.0
Nairobi,Eastleigh,commercial,monthly,37400.0
Nairobi,Eastleigh,commercial,once,10009400.0
Nairobi,Eastleigh,commercial,yearly,39500.0
Nairobi,Eastleigh,house,monthly,83250.0
Nairobi,Eastleigh,house,once,18606800.0
Nairobi,Eastleigh,house,yearly,81900.0
Nairobi,Eastleigh,land,once,2764700.0
Nairobi,Githurai,apartment,monthly,28850.0
Nairobi,Githurai,apartment,once,6902000.0
Nairobi,Githurai,apartment,yearly,30500.0
Nairobi,Githurai,bedsitter,monthly,6500.0
Nairobi,Githurai,bedsitter,once,1163700.0
Nairobi,Githurai,bedsitter,yearly,6200.0
Nairobi,Githurai,commercial,monthly,36400.0
Nairobi,Githurai,commercial,once,9502850.0
Nairobi,Githurai,commercial,yearly,34000.0
Nairobi,Githurai,house,monthly,82900.0
Nairobi,Githurai,house,once,18798550.0
Nairobi,Githurai,house,yearly,82350.0
Nairobi,Githurai,land,once,2828750.0
Nairobi,Karen,apartment,monthly,105350.0
Nairobi,Karen,apartment,once,24330800.0
Nairobi,Karen,apartment,yearly,111550.0
Nairobi,Karen,bedsitter,monthly,24900.0
Nairobi,Karen,bedsitter,once,3900950.0
Nairobi,Karen,bedsitter,yearly,23100.0
Nairobi,Karen,commercial,monthly,136000.0
Nairobi,Karen,commercial,once,37321600.0
Nairobi,Karen,commercial,yearly,126400.0
Nairobi,Karen,house,monthly,294600.0
Nairobi,Karen,house,once,65902600.0
Nairobi,Karen,house,yearly,304850.0
Nairobi,Karen,land,once,10277350.0
Nairobi,Kasarani,apartment,monthly,30800.0
Nairobi,Kasarani,apartment,once,7483150.0
Nairobi,Kasarani,apartment,yearly,31650.0
Nairobi,Kasarani,bedsitter,monthly,6600.0
Nairobi,Kasarani,bedsitter,once,1042600.0
Nairobi,Kasarani,bedsitter,yearly,6600.0
Nairobi,Kasarani,commercial,monthly,40000.0
Nairobi,Kasarani,commercial,once,10331950.0
Nairobi,Kasarani,commercial,yearly,39300.0
Nairobi,Kasarani,house,monthly,82800.0
Nairobi,Kasarani,house,once,18567700.0
Nairobi,Kasarani,house,yearly,86200.0
Nairobi,Kasarani,land,once,2849250.0
Nairobi,Kilimani,apartment,monthly,60500.0
Nairobi,Kilimani,apartment,once,13374000.0
Nairobi,Kilimani,apartment,yearly,61800.0
Nairobi,Kilimani,bedsitter,monthly,12900.0
Nairobi,Kilimani,bedsitter,once,2119400.0
Nairobi,Kilimani,bedsitter,yearly,12300.0
Nairobi,Kilimani,commercial,monthly,77100.0
Nairobi,Kilimani,commercial,once,19923350.0
Nairobi,Kilimani,commercial,yearly,73150.0
Nairobi,Kilimani,house,monthly,165100.0
Nairobi,Kilimani,house,once,38189200.0
Nairobi,Kilimani,house,yearly,182900.0
Nairobi,Kilimani,land,once,5307300.0
Nairobi,Lavington,apartment,monthly,59300.0
Nairobi,Lavington,apartment,once,13666400.0
Nairobi,Lavington,apartment,yearly,59200.0
Nairobi,Lavington,bedsitter,monthly,13200.0
Nairobi,Lavington,bedsitter,once,2069800.0
Nairobi,Lavington,bedsitter,yearly,13400.0
Nairobi,Lavington,commercial,monthly,76050.0
Nairobi,Lavington,commercial,once,19068200.0
Nairobi,Lavington,commercial,yearly,84100.0
Nairobi,Lavington,house,monthly,166100.0
Nairobi,Lavington,house,once,34100800.0
Nairobi,Lavington,house,yearly,159900.0
Nairobi,Lavington,land,once,5318950.0
Nairobi,Mukuru,apartment,monthly,28400.0
Nairobi,Mukuru,apartment,once,6205500.0
Nairobi,Mukuru,apartment,yearly,30550.0
Nairobi,Mukuru,bedsitter,monthly,6400.0
Nairobi,Mukuru,bedsitter,once,1039850.0
Nairobi,Mukuru,bedsitter,yearly,6500.0
Nairobi,Mukuru,commercial,monthly,37800.0
Nairobi,Mukuru,commercial,once,8987200.0
Nairobi,Mukuru,commercial,yearly,36400.0
Nairobi,Mukuru,house,monthly,84600.0
Nairobi,Mukuru,house,once,19567150.0
Nairobi,Mukuru,house,yearly,83600.0
Nairobi,Mukuru,land,once,2683100.0
Nairobi,Ngong Road,apartment,monthly,55500.0
Nairobi,Ngong Road,apartment,once,12496600.0
Nairobi,Ngong Road,apartment,yearly,58900.0
Nairobi,Ngong Road,bedsitter,monthly,13400.0
Nairobi,Ngong Road,bedsitter,once,2032400.0
Nairobi,Ngong Road,bedsitter,yearly,12300.0
Nairobi,Ngong Road,commercial,monthly,72400.0
Nairobi,Ngong Road,commercial,once,19320250.0
Nairobi,Ngong Road,commercial,yearly,64350.0
Nairobi,Ngong Road,house,monthly,159250.0
Nairobi,Ngong Road,house,once,36312600.0
Nairobi,Ngong Road,house,yearly,159900.0
Nairobi,Ngong Road,land,once,5267700.0
Nairobi,Runda,apartment,monthly,109200.0
Nairobi,Runda,apartment,once,26206100.0
Nairobi,Runda,apartment,yearly,100550.0
Nairobi,Runda,bedsitter,monthly,24000.0
Nairobi,Runda,bedsitter,once,3909800.0
Nairobi,Runda,bedsitter,yearly,23400.0
Nairobi,Runda,commercial,monthly,134800.0
Nairobi,Runda,commercial,once,35958350.0
Nairobi,Runda,commercial,yearly,136100.0
Nairobi,Runda,house,monthly,291700.0
Nairobi,Runda,house,once,68467950.0
Nairobi,Runda,house,yearly,282600.0
Nairobi,Runda,land,once,10537350.0
Nairobi,Westlands,apartment,monthly,109850.0
Nairobi,Westlands,apartment,once,23640600.0
Nairobi,Westlands,apartment,yearly,110350.0
Nairobi,Westlands,bedsitter,monthly,23600.0
Nairobi,Westlands,bedsitter,once,3553400.0
Nairobi,Westlands,bedsitter,yearly,21900.0
Nairobi,Westlands,commercial,monthly,135100.0
Nairobi,Westlands,commercial,once,31721150.0
Nairobi,Westlands,commercial,yearly,149950.0
Nairobi,Westlands,house,monthly,291200.0
Nairobi,Westlands,house,once,66712750.0
Nairobi,Westlands,house,yearly,263000.0
Nairobi,Westlands,land,once,9863500.0
